country,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bahamas,"$21,606 ","$19,630 ","$19,503 ","$18,387 ","$19,382 ","$15,829 ","$13,226 ","$13,615 ","$14,543 ","$16,275 ","$20,066 ","$21,002 ","$18,735 ","$19,651 ","$20,014 ","$22,468 ","$23,183 ","$23,271 ","$23,653 ","$23,871 ","$25,103 ","$24,311 ","$22,904 ","$21,658 ","$21,380 ","$21,728 ","$22,365 ","$22,989 ","$23,146 ","$23,937 ","$25,343 ","$26,087 ","$26,482 ","$26,926 ","$26,333 ","$26,320 ","$26,971 ","$27,411 ","$27,561 ","$26,677 ","$25,328 ","$25,480 ","$25,400 ","$25,727 ","$25,503 ","$25,540 ","$21,442 "
Bahrain,"$27,704 ","$27,504 ","$27,339 ","$27,241 ","$26,846 ","$26,361 ","$25,813 ","$24,908 ","$23,387 ","$22,006 ","$21,550 ","$21,936 ","$19,858 ","$17,664 ","$18,080 ","$18,283 ","$16,775 ","$16,348 ","$17,400 ","$17,979 ","$17,429 ","$17,589 ","$18,934 ","$19,618 ","$21,557 ","$20,940 ","$21,219 ","$21,558 ","$21,701 ","$22,218 ","$22,639 ","$23,297 ","$23,265 ","$22,665 ","$21,994 ","$21,667 ","$21,420 ","$21,221 ","$21,471 ","$21,706 ","$21,536 ","$21,789 ","$21,613 ","$21,785 ","$22,357 ","$22,782 ","$22,384 "
Bangladesh,$382 ,$392 ,$361 ,$304 ,$307 ,$326 ,$306 ,$317 ,$315 ,$327 ,$333 ,$326 ,$326 ,$326 ,$332 ,$340 ,$345 ,$352 ,$358 ,$360 ,$364 ,$378 ,$385 ,$400 ,$412 ,$421 ,$436 ,$448 ,$461 ,$476 ,$490 ,$507 ,$524 ,$534 ,$550 ,$569 ,$596 ,$625 ,$659 ,$687 ,$710 ,$738 ,$774 ,$812 ,$847 ,$884 ,$973 
Barbados,"$8,982 ","$9,860 ","$10,167 ","$10,218 ","$10,284 ","$9,748 ","$10,074 ","$10,030 ","$10,421 ","$11,016 ","$11,814 ","$12,332 ","$11,918 ","$11,272 ","$11,231 ","$11,551 ","$11,559 ","$12,599 ","$12,685 ","$13,435 ","$14,051 ","$13,316 ","$12,875 ","$12,176 ","$12,245 ","$12,688 ","$12,827 ","$13,006 ","$13,774 ","$14,275 ","$14,580 ","$14,852 ","$14,408 ","$14,436 ","$14,651 ","$14,793 ","$15,317 ","$16,124 ","$16,326 ","$16,317 ","$15,581 ","$15,563 ","$15,623 ","$15,569 ","$13,147 ","$13,131 ","$15,983 "
Belarus,"$1,800 ","$1,839 ","$1,880 ","$1,924 ","$1,969 ","$2,015 ","$2,065 ","$2,118 ","$2,172 ","$2,224 ","$2,278 ","$2,334 ","$2,389 ","$2,446 ","$2,505 ","$2,564 ","$2,626 ","$2,690 ","$2,759 ","$2,829 ","$2,907 ","$2,992 ","$2,955 ","$2,665 ","$2,457 ","$2,172 ","$1,953 ","$2,014 ","$2,253 ","$2,451 ","$2,542 ","$2,697 ","$2,834 ","$2,991 ","$3,217 ","$3,604 ","$3,962 ","$4,378 ","$4,769 ","$5,267 ","$5,286 ","$5,705 ","$6,032 ","$6,148 ","$6,226 ","$6,336 ","$6,159 "
Belgium,"$18,998 ","$20,357 ","$21,092 ","$22,126 ","$23,467 ","$24,464 ","$23,917 ","$25,227 ","$25,357 ","$26,057 ","$26,647 ","$27,804 ","$27,710 ","$27,864 ","$27,953 ","$28,644 ","$29,108 ","$29,628 ","$30,285 ","$31,672 ","$32,593 ","$33,509 ","$34,004 ","$34,383 ","$33,918 ","$34,882 ","$35,600 ","$36,069 ","$37,342 ","$38,027 ","$39,369 ","$40,655 ","$40,916 ","$41,418 ","$41,615 ","$42,860 ","$43,439 ","$44,301 ","$45,309 ","$45,388 ","$43,851 ","$44,584 ","$44,905 ","$44,558 ","$44,327 ","$44,447 ","$44,863 "
Belize,"$1,307 ","$1,338 ","$1,359 ","$1,466 ","$1,512 ","$1,683 ","$1,710 ","$1,678 ","$1,756 ","$1,864 ","$1,973 ","$2,285 ","$2,240 ","$2,174 ","$2,080 ","$2,068 ","$2,031 ","$2,053 ","$2,217 ","$2,354 ","$2,591 ","$2,800 ","$3,016 ","$3,294 ","$3,411 ","$3,328 ","$3,263 ","$3,224 ","$3,251 ","$3,284 ","$3,478 ","$3,828 ","$3,915 ","$4,011 ","$4,276 ","$4,366 ","$4,373 ","$4,467 ","$4,415 ","$4,456 ","$4,392 ","$4,442 ","$4,442 ","$4,519 ","$4,498 ","$4,522 ","$4,427 "
Benin,$615 ,$612 ,$587 ,$608 ,$614 ,$618 ,$572 ,$561 ,$572 ,$563 ,$583 ,$604 ,$644 ,$639 ,$593 ,$620 ,$647 ,$641 ,$612 ,$613 ,$578 ,$610 ,$616 ,$615 ,$621 ,$606 ,$625 ,$632 ,$648 ,$652 ,$665 ,$675 ,$694 ,$702 ,$706 ,$706 ,$703 ,$706 ,$717 ,$730 ,$727 ,$725 ,$727 ,$744 ,$764 ,$782 ,$827 
Bhutan,$332 ,$342 ,$351 ,$362 ,$373 ,$384 ,$396 ,$408 ,$421 ,$434 ,$447 ,$370 ,$407 ,$407 ,$438 ,$442 ,$446 ,$482 ,$600 ,$611 ,$638 ,$690 ,$676 ,$734 ,$781 ,$823 ,$894 ,$945 ,$980 ,"$1,019 ","$1,081 ","$1,137 ","$1,210 ","$1,318 ","$1,397 ","$1,458 ","$1,539 ","$1,621 ","$1,886 ","$1,950 ","$2,053 ","$2,265 ","$2,415 ","$2,507 ","$2,529 ","$2,656 ","$2,580 "
Bolivia,"$1,487 ","$1,444 ","$1,480 ","$1,559 ","$1,608 ","$1,615 ","$1,692 ","$1,755 ","$1,798 ","$1,790 ","$1,752 ","$1,691 ","$1,664 ","$1,571 ","$1,483 ","$1,455 ","$1,406 ","$1,346 ","$1,353 ","$1,365 ","$1,386 ","$1,417 ","$1,456 ","$1,445 ","$1,473 ","$1,507 ","$1,544 ","$1,577 ","$1,620 ","$1,666 ","$1,639 ","$1,645 ","$1,638 ","$1,645 ","$1,655 ","$1,690 ","$1,730 ","$1,778 ","$1,825 ","$1,902 ","$1,930 ","$1,975 ","$2,042 ","$2,112 ","$2,219 ","$2,301 ","$2,373 "
