country,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Cote d'Ivoire,"$1,691 ","$1,773 ","$1,843 ","$1,828 ","$1,849 ","$1,848 ","$1,920 ","$2,079 ","$2,141 ","$2,281 ","$2,246 ","$1,925 ","$1,919 ","$1,853 ","$1,716 ","$1,610 ","$1,623 ","$1,616 ","$1,553 ","$1,516 ","$1,505 ","$1,422 ","$1,363 ","$1,321 ","$1,277 ","$1,240 ","$1,287 ","$1,347 ","$1,361 ","$1,397 ","$1,384 ","$1,321 ","$1,290 ","$1,241 ","$1,199 ","$1,185 ","$1,179 ","$1,171 ","$1,167 ","$1,171 ","$1,183 ","$1,182 ","$1,106 ","$1,200 ","$1,284 ","$1,372 ","$1,492 "
Croatia,"$4,946 ","$5,153 ","$5,405 ","$5,530 ","$5,661 ","$5,794 ","$5,933 ","$6,045 ","$6,461 ","$6,921 ","$7,274 ","$7,566 ","$7,733 ","$7,793 ","$8,039 ","$8,431 ","$8,814 ","$8,846 ","$9,079 ","$8,892 ","$9,068 ","$12,106 ","$9,485 ","$8,461 ","$7,795 ","$8,207 ","$8,800 ","$9,385 ","$10,052 ","$10,296 ","$10,227 ","$10,606 ","$10,901 ","$11,365 ","$11,952 ","$12,443 ","$12,964 ","$13,588 ","$14,292 ","$14,591 ","$13,520 ","$13,298 ","$13,269 ","$12,990 ","$12,881 ","$12,844 ","$13,807 "
Cuba,"$2,211 ","$2,295 ","$2,455 ","$2,526 ","$2,564 ","$2,546 ","$2,746 ","$2,855 ","$3,066 ","$3,235 ","$3,245 ","$3,106 ","$3,695 ","$3,993 ","$4,169 ","$4,458 ","$4,489 ","$4,458 ","$4,321 ","$4,443 ","$4,430 ","$4,256 ","$3,767 ","$3,306 ","$2,798 ","$2,804 ","$2,860 ","$3,071 ","$3,146 ","$3,138 ","$3,317 ","$3,498 ","$3,599 ","$3,641 ","$3,767 ","$3,975 ","$4,419 ","$4,960 ","$5,330 ","$5,562 ","$5,655 ","$5,796 ","$5,965 ","$6,151 ","$6,324 ","$6,415 ",..
Cyprus,"$4,283 ","$4,492 ","$4,713 ","$4,934 ","$5,157 ","$5,397 ","$6,192 ","$7,587 ","$8,822 ","$9,457 ","$10,313 ","$10,789 ","$10,926 ","$11,453 ","$11,887 ","$12,706 ","$13,106 ","$13,371 ","$14,087 ","$15,060 ","$15,947 ","$16,710 ","$16,368 ","$17,402 ","$17,063 ","$17,646 ","$18,321 ","$18,254 ","$18,362 ","$18,997 ","$19,599 ","$20,423 ","$20,859 ","$21,209 ","$21,397 ","$21,824 ","$22,139 ","$22,684 ","$23,388 ","$23,828 ","$22,956 ","$22,896 ","$22,591 ","$21,712 ","$20,241 ","$19,496 ","$27,377 "
Czech Republic,"$8,109 ","$8,370 ","$8,603 ","$8,835 ","$9,063 ","$9,283 ","$9,507 ","$9,740 ","$9,985 ","$10,243 ","$10,511 ","$10,806 ","$11,130 ","$11,468 ","$11,819 ","$12,182 ","$12,557 ","$12,947 ","$13,344 ","$13,754 ","$14,179 ","$13,980 ","$12,362 ","$12,287 ","$12,281 ","$12,634 ","$13,428 ","$14,020 ","$13,940 ","$13,910 ","$14,124 ","$14,747 ","$15,225 ","$15,497 ","$16,051 ","$16,831 ","$17,881 ","$19,049 ","$19,976 ","$20,340 ","$19,240 ","$19,621 ","$19,964 ","$19,768 ","$19,596 ","$19,953 ","$20,956 "
Denmark,"$29,538 ","$30,331 ","$31,025 ","$32,136 ","$33,143 ","$32,720 ","$32,227 ","$34,105 ","$34,672 ","$35,351 ","$36,657 ","$36,434 ","$36,121 ","$37,490 ","$38,511 ","$40,136 ","$41,734 ","$43,741 ","$43,813 ","$43,729 ","$43,953 ","$44,587 ","$45,049 ","$45,788 ","$45,597 ","$47,957 ","$49,172 ","$50,315 ","$51,743 ","$52,700 ","$54,077 ","$55,922 ","$56,188 ","$56,252 ","$56,268 ","$57,547 ","$58,744 ","$60,769 ","$61,075 ","$60,453 ","$57,212 ","$57,983 ","$58,499 ","$57,974 ","$57,557 ","$58,078 ","$58,208 "
Djibouti,$13 ,$13 ,$13 ,$13 ,$12 ,$12 ,$12 ,$12 ,$12 ,$12 ,$11 ,$11 ,$11 ,$11 ,$11 ,$11 ,$10 ,$10 ,$10 ,$10 ,$10 ,$23 ,$22 ,$21 ,$19 ,$18 ,$17 ,$16 ,$15 ,$15 ,$15 ,$15 ,$14 ,$14 ,$14 ,$15 ,$15 ,$15 ,$15 ,$16 ,$16 ,$16 ,$17 ,$17 ,$17 ,$18 ,..
Dominica,"$2,114 ","$2,138 ","$2,164 ","$2,191 ","$2,223 ","$2,262 ","$2,310 ","$2,365 ","$2,426 ","$2,710 ","$2,214 ","$2,542 ","$2,863 ","$2,969 ","$3,030 ","$3,207 ","$3,288 ","$3,556 ","$3,853 ","$4,211 ","$4,250 ","$4,505 ","$4,525 ","$4,608 ","$4,676 ","$4,709 ","$4,769 ","$4,924 ","$5,048 ","$5,318 ","$5,331 ","$5,315 ","$5,311 ","$5,194 ","$5,578 ","$5,743 ","$5,723 ","$5,992 ","$6,343 ","$6,804 ","$6,712 ","$6,770 ","$6,750 ","$6,642 ","$6,567 ","$6,712 ","$7,202 "
Dominican Republic,"$1,430 ","$1,643 ","$1,772 ","$1,904 ","$2,094 ","$2,163 ","$2,218 ","$2,309 ","$2,366 ","$2,360 ","$2,409 ","$2,539 ","$2,587 ","$2,570 ","$2,629 ","$2,604 ","$2,494 ","$2,527 ","$2,724 ","$2,725 ","$2,786 ","$2,581 ","$2,555 ","$2,770 ","$2,918 ","$2,935 ","$3,042 ","$3,201 ","$3,397 ","$3,572 ","$3,746 ","$3,891 ","$3,895 ","$4,053 ","$3,979 ","$3,971 ","$4,276 ","$4,666 ","$4,991 ","$5,077 ","$5,054 ","$5,399 ","$5,478 ","$5,548 ","$5,739 ","$6,083 ","$6,494 "
DR Congo,$962 ,$933 ,$962 ,$938 ,$986 ,$989 ,$913 ,$841 ,$824 ,$756 ,$735 ,$730 ,$728 ,$704 ,$696 ,$714 ,$696 ,$707 ,$703 ,$684 ,$654 ,$591 ,$523 ,$453 ,$379 ,$352 ,$340 ,$330 ,$307 ,$296 ,$274 ,$248 ,$235 ,$235 ,$241 ,$251 ,$258 ,$264 ,$273 ,$282 ,$282 ,$294 ,$306 ,$319 ,$338 ,$359 ,$385 
Ecuador,"$2,450 ","$2,542 ","$2,624 ","$2,676 ","$2,962 ","$3,199 ","$3,449 ","$3,599 ","$3,553 ","$3,650 ","$3,681 ","$3,713 ","$3,816 ","$3,736 ","$3,625 ","$3,622 ","$3,666 ","$3,696 ","$3,592 ","$3,707 ","$3,650 ","$3,685 ","$3,802 ","$3,837 ","$3,840 ","$3,909 ","$3,907 ","$3,885 ","$3,962 ","$4,003 ","$3,746 ","$3,733 ","$3,826 ","$3,922 ","$3,952 ","$4,183 ","$4,309 ","$4,417 ","$4,444 ","$4,654 ","$4,610 ","$4,703 ","$4,999 ","$5,186 ","$5,351 ","$5,478 ","$5,337 "
Egypt,$798 ,$827 ,$840 ,$842 ,$832 ,$835 ,$892 ,"$1,001 ","$1,099 ","$1,127 ","$1,159 ","$1,234 ","$1,235 ","$1,313 ","$1,368 ","$1,408 ","$1,456 ","$1,450 ","$1,464 ","$1,519 ","$1,571 ","$1,632 ","$1,621 ","$1,670 ","$1,696 ","$1,740 ","$1,796 ","$1,860 ","$1,920 ","$1,955 ","$2,030 ","$2,093 ","$2,121 ","$2,125 ","$2,146 ","$2,187 ","$2,236 ","$2,339 ","$2,453 ","$2,574 ","$2,640 ","$2,720 ","$2,715 ","$2,722 ","$2,727 ","$2,735 ","$2,707 "
El Salvador,"$2,634 ","$2,611 ","$2,634 ","$2,736 ","$2,804 ","$2,884 ","$2,895 ","$2,966 ","$3,087 ","$3,167 ","$2,959 ","$2,577 ","$2,333 ","$2,206 ","$2,216 ","$2,213 ","$2,190 ","$2,154 ","$2,166 ","$2,167 ","$2,151 ","$2,217 ","$2,258 ","$2,387 ","$2,540 ","$2,663 ","$2,790 ","$2,795 ","$2,876 ","$2,944 ","$3,006 ","$3,038 ","$3,072 ","$3,134 ","$3,197 ","$3,248 ","$3,351 ","$3,474 ","$3,601 ","$3,632 ","$3,504 ","$3,539 ","$3,606 ","$3,662 ","$3,713 ","$3,776 ","$3,853 "
Equatorial Guinea,$457 ,$458 ,$458 ,$459 ,$477 ,$526 ,$626 ,$710 ,$714 ,$718 ,$641 ,$562 ,$560 ,$545 ,$545 ,$524 ,$573 ,$545 ,$555 ,$555 ,$534 ,$510 ,$491 ,$644 ,$696 ,$789 ,$902 ,"$1,460 ","$3,548 ","$4,268 ","$5,212 ","$5,986 ","$9,501 ","$11,027 ","$12,210 ","$16,376 ","$18,586 ","$17,203 ","$18,928 ","$20,673 ","$18,497 ","$17,772 ","$18,171 ","$18,270 ","$16,940 ","$15,999 ","$13,276 "
Eritrea,$374 ,$354 ,$353 ,$352 ,$347 ,$348 ,$350 ,$350 ,$351 ,$354 ,$359 ,$364 ,$362 ,$360 ,$357 ,$355 ,$352 ,$359 ,$372 ,$373 ,$369 ,$365 ,$375 ,$382 ,$414 ,$480 ,$468 ,$488 ,$512 ,$505 ,$491 ,$462 ,$486 ,$482 ,$450 ,$437 ,$434 ,$418 ,$413 ,$362 ,$367 ,$365 ,$387 ,$405 ,$400 ,$398 ,..
Estonia,"$6,768 ","$6,873 ","$6,992 ","$7,126 ","$7,277 ","$7,441 ","$7,618 ","$7,800 ","$7,980 ","$8,169 ","$8,371 ","$8,214 ","$8,269 ","$8,678 ","$8,936 ","$9,117 ","$9,091 ","$9,121 ","$9,367 ","$9,592 ","$9,875 ","$9,187 ","$8,505 ","$6,840 ","$6,611 ","$6,608 ","$7,004 ","$7,514 ","$8,482 ","$9,139 ","$9,188 ","$10,153 ","$10,859 ","$11,609 ","$12,568 ","$13,473 ","$14,845 ","$16,500 ","$17,895 ","$17,002 ","$14,541 ","$14,954 ","$16,259 ","$17,126 ","$17,529 ","$17,997 ","$17,762 "
Ethiopia,$251 ,$249 ,$246 ,$244 ,$241 ,$237 ,$234 ,$231 ,$228 ,$226 ,$225 ,$225 ,$218 ,$210 ,$221 ,$218 ,$191 ,$204 ,$225 ,$218 ,$210 ,$210 ,$187 ,$165 ,$182 ,$183 ,$188 ,$205 ,$206 ,$193 ,$197 ,$203 ,$214 ,$211 ,$200 ,$221 ,$240 ,$259 ,$280 ,$301 ,$318 ,$348 ,$376 ,$396 ,$426 ,$455 ,$486 
Fiji,"$2,015 ","$2,206 ","$2,304 ","$2,427 ","$2,650 ","$2,676 ","$2,639 ","$2,669 ","$2,759 ","$2,758 ","$3,038 ","$2,932 ","$3,058 ","$2,822 ","$2,658 ","$2,824 ","$2,642 ","$2,791 ","$2,582 ","$2,582 ","$2,749 ","$2,883 ","$2,780 ","$2,924 ","$2,961 ","$3,085 ","$3,135 ","$3,259 ","$3,160 ","$3,172 ","$3,424 ","$3,341 ","$3,383 ","$3,466 ","$3,473 ","$3,628 ","$3,624 ","$3,659 ","$3,593 ","$3,595 ","$3,512 ","$3,585 ","$3,652 ","$3,690 ","$3,790 ","$3,906 ","$4,042 "
Finland,"$17,106 ","$18,375 ","$18,784 ","$20,117 ","$21,400 ","$21,978 ","$22,275 ","$22,285 ","$22,276 ","$22,860 ","$24,426 ","$25,662 ","$25,884 ","$26,534 ","$27,199 ","$27,924 ","$28,794 ","$29,485 ","$30,445 ","$31,935 ","$33,453 ","$33,517 ","$31,363 ","$30,156 ","$29,794 ","$30,838 ","$32,019 ","$33,089 ","$35,061 ","$36,874 ","$38,429 ","$40,512 ","$41,464 ","$42,060 ","$42,797 ","$44,348 ","$45,426 ","$47,089 ","$49,322 ","$49,447 ","$45,142 ","$46,280 ","$47,249 ","$46,354 ","$45,531 ","$45,279 ","$45,289 "
France,"$18,987 ","$20,123 ","$20,991 ","$21,752 ","$22,934 ","$23,759 ","$23,410 ","$24,327 ","$25,065 ","$25,954 ","$26,762 ","$27,051 ","$27,198 ","$27,730 ","$27,960 ","$28,225 ","$28,557 ","$29,106 ","$29,716 ","$30,977 ","$32,007 ","$32,742 ","$32,885 ","$33,213 ","$32,835 ","$33,447 ","$33,987 ","$34,303 ","$34,947 ","$36,024 ","$37,073 ","$38,309 ","$38,835 ","$39,043 ","$39,143 ","$39,998 ","$40,396 ","$41,096 ","$41,806 ","$41,648 ","$40,198 ","$40,760 ","$41,381 ","$41,245 ","$41,314 ","$41,196 ","$41,330 "
Gabon,"$7,808 ","$8,307 ","$8,962 ","$9,753 ","$10,312 ","$13,506 ","$14,847 ","$18,956 ","$16,131 ","$11,916 ","$12,030 ","$12,495 ","$12,826 ","$12,043 ","$12,313 ","$12,807 ","$12,091 ","$11,625 ","$9,397 ","$10,382 ","$11,035 ","$11,370 ","$11,785 ","$11,120 ","$11,253 ","$11,361 ","$11,611 ","$11,718 ","$12,069 ","$12,162 ","$10,719 ","$10,171 ","$10,120 ","$9,852 ","$9,830 ","$9,667 ","$9,819 ","$9,258 ","$9,655 ","$9,178 ","$8,893 ","$9,368 ","$9,762 ","$10,192 ","$10,428 ","$10,666 ","$10,736 "
Gambia,$413 ,$424 ,$410 ,$398 ,$421 ,$433 ,$473 ,$493 ,$496 ,$513 ,$492 ,$508 ,$510 ,$492 ,$530 ,$526 ,$501 ,$500 ,$491 ,$492 ,$500 ,$497 ,$491 ,$487 ,$482 ,$464 ,$451 ,$446 ,$452 ,$454 ,$469 ,$481 ,$496 ,$467 ,$486 ,$507 ,$489 ,$482 ,$487 ,$502 ,$522 ,$542 ,$507 ,$524 ,$537 ,$524 ,..
Georgia,"$1,885 ","$2,092 ","$2,123 ","$2,163 ","$2,284 ","$2,465 ","$2,630 ","$2,772 ","$2,943 ","$3,144 ","$3,357 ","$3,492 ","$3,656 ","$3,708 ","$3,846 ","$4,030 ","$4,204 ","$3,841 ","$3,875 ","$4,028 ","$3,684 ","$3,120 ","$2,462 ","$1,372 ",$989 ,$907 ,$950 ,"$1,072 ","$1,197 ","$1,243 ","$1,286 ","$1,319 ","$1,390 ","$1,472 ","$1,643 ","$1,742 ","$1,890 ","$2,050 ","$2,306 ","$2,360 ","$2,256 ","$2,374 ","$2,526 ","$2,676 ","$2,770 ","$2,905 ","$4,010 "
Germany,"$19,374 ","$19,714 ","$20,183 ","$20,954 ","$21,890 ","$22,081 ","$21,968 ","$23,169 ","$23,986 ","$24,738 ","$25,760 ","$26,050 ","$26,154 ","$26,072 ","$26,555 ","$27,398 ","$28,097 ","$28,729 ","$29,130 ","$30,089 ","$31,018 ","$32,345 ","$33,741 ","$34,127 ","$33,579 ","$34,284 ","$34,764 ","$34,934 ","$35,520 ","$36,213 ","$36,910 ","$37,961 ","$38,540 ","$38,480 ","$38,182 ","$38,641 ","$38,936 ","$40,426 ","$41,804 ","$42,332 ","$40,056 ","$41,794 ","$43,386 ","$43,638 ","$43,769 ","$44,554 ","$45,270 "
Ghana,$951 ,"$1,070 ","$1,091 ","$1,032 ","$1,029 ","$1,072 ",$920 ,$868 ,$868 ,$923 ,$883 ,$873 ,$827 ,$751 ,$671 ,$690 ,$702 ,$709 ,$725 ,$747 ,$767 ,$775 ,$798 ,$812 ,$830 ,$838 ,$858 ,$882 ,$903 ,$928 ,$951 ,$967 ,$986 ,"$1,009 ","$1,038 ","$1,073 ","$1,112 ","$1,157 ","$1,205 ","$1,278 ","$1,294 ","$1,365 ","$1,522 ","$1,627 ","$1,708 ","$1,741 ","$1,696 "
Greece,"$12,061 ","$13,354 ","$14,339 ","$15,693 ","$16,886 ","$15,741 ","$16,587 ","$17,490 ","$17,731 ","$18,771 ","$19,147 ","$19,088 ","$18,624 ","$18,305 ","$18,008 ","$18,284 ","$18,675 ","$18,718 ","$18,253 ","$19,020 ","$19,648 ","$19,456 ","$19,822 ","$19,817 ","$19,392 ","$19,691 ","$20,051 ","$20,600 ","$21,473 ","$22,306 ","$22,956 ","$23,816 ","$24,653 ","$25,380 ","$27,008 ","$28,288 ","$28,484 ","$30,085 ","$31,096 ","$30,911 ","$29,512 ","$27,871 ","$25,377 ","$23,692 ","$22,758 ","$22,929 ","$22,648 "
Grenada,"$1,988 ","$2,038 ","$2,087 ","$2,139 ","$2,200 ","$2,280 ","$2,363 ","$2,443 ","$2,644 ","$2,840 ","$3,050 ","$3,076 ","$3,029 ","$3,176 ","$3,265 ","$3,414 ","$3,677 ","$3,959 ","$4,377 ","$4,516 ","$4,789 ","$5,044 ","$5,167 ","$5,120 ","$4,927 ","$5,011 ","$5,084 ","$5,242 ","$5,433 ","$5,741 ","$6,282 ","$6,360 ","$6,190 ","$6,369 ","$6,939 ","$6,851 ","$7,714 ","$7,361 ","$7,763 ","$7,788 ","$7,228 ","$7,152 ","$7,165 ","$7,044 ","$7,179 ","$7,250 ","$8,041 "
Guatemala,"$1,931 ","$1,998 ","$2,062 ","$2,163 ","$2,257 ","$2,345 ","$2,335 ","$2,449 ","$2,579 ","$2,644 ","$2,705 ","$2,741 ","$2,687 ","$2,535 ","$2,399 ","$2,348 ","$2,272 ","$2,206 ","$2,189 ","$2,184 ","$2,209 ","$2,218 ","$2,237 ","$2,307 ","$2,358 ","$2,389 ","$2,445 ","$2,459 ","$2,510 ","$2,583 ","$2,635 ","$2,685 ","$2,699 ","$2,749 ","$2,766 ","$2,802 ","$2,836 ","$2,923 ","$3,041 ","$3,074 ","$3,027 ","$3,051 ","$3,115 ","$3,145 ","$3,199 ","$3,272 ","$3,052 "
Guinea,$396 ,$401 ,$405 ,$410 ,$414 ,$419 ,$423 ,$427 ,$432 ,$436 ,$441 ,$445 ,$450 ,$454 ,$458 ,$451 ,$441 ,$388 ,$391 ,$406 ,$411 ,$408 ,$391 ,$389 ,$397 ,$400 ,$406 ,$410 ,$426 ,$435 ,$438 ,$438 ,$451 ,$468 ,$461 ,$461 ,$465 ,$467 ,$464 ,$475 ,$462 ,$459 ,$464 ,$470 ,$468 ,$455 ,$417 
Guinea-Bissau,$529 ,$560 ,$535 ,$568 ,$567 ,$586 ,$594 ,$580 ,$529 ,$588 ,$590 ,$485 ,$560 ,$570 ,$538 ,$574 ,$584 ,$566 ,$569 ,$581 ,$602 ,$624 ,$640 ,$628 ,$622 ,$623 ,$635 ,$695 ,$723 ,$508 ,$502 ,$517 ,$517 ,$502 ,$495 ,$498 ,$510 ,$511 ,$517 ,$523 ,$529 ,$541 ,$579 ,$555 ,$546 ,$549 ,$535 
Guyana,"$2,049 ","$2,097 ","$2,120 ","$2,012 ","$2,003 ","$2,129 ","$2,302 ","$2,350 ","$2,304 ","$2,270 ","$2,224 ","$2,257 ","$2,283 ","$1,979 ","$1,846 ","$1,754 ","$1,795 ","$1,777 ","$1,789 ","$1,719 ","$1,630 ","$1,574 ","$1,671 ","$1,809 ","$1,959 ","$2,124 ","$2,226 ","$2,402 ","$2,554 ","$2,497 ","$2,547 ","$2,495 ","$2,549 ","$2,588 ","$2,572 ","$2,659 ","$2,617 ","$2,499 ","$2,697 ","$2,772 ","$2,884 ","$3,029 ","$3,211 ","$3,379 ","$3,566 ","$3,709 ","$3,663 "
Haiti,$989 ,$965 ,"$1,037 ","$1,030 ","$1,021 ","$1,064 ","$1,018 ","$1,083 ","$1,066 ","$1,095 ","$1,151 ","$1,213 ","$1,156 ","$1,093 ","$1,079 ","$1,059 ","$1,039 ","$1,015 ",$986 ,$974 ,$965 ,$942 ,$964 ,$895 ,$827 ,$712 ,$765 ,$779 ,$783 ,$783 ,$788 ,$779 ,$757 ,$742 ,$731 ,$693 ,$693 ,$697 ,$710 ,$705 ,$717 ,$686 ,$719 ,$734 ,$758 ,$770 ,$731 
Honduras,"$1,279 ","$1,289 ","$1,296 ","$1,320 ","$1,372 ","$1,508 ","$1,490 ","$1,593 ","$1,700 ","$1,804 ","$1,824 ","$1,770 ","$1,742 ","$1,659 ","$1,589 ","$1,600 ","$1,608 ","$1,562 ","$1,601 ","$1,622 ","$1,641 ","$1,596 ","$1,601 ","$1,642 ","$1,694 ","$1,623 ","$1,640 ","$1,651 ","$1,685 ","$1,687 ","$1,614 ","$1,662 ","$1,663 ","$1,683 ","$1,716 ","$1,780 ","$1,845 ","$1,922 ","$1,998 ","$2,039 ","$1,949 ","$1,983 ","$2,020 ","$1,923 ","$1,938 ","$1,970 ","$2,329 "
Hong Kong,"$5,438 ","$5,796 ","$6,086 ","$6,617 ","$7,259 ","$7,250 ","$7,159 ","$8,091 ","$8,911 ","$9,474 ","$10,006 ","$10,727 ","$11,449 ","$11,605 ","$12,113 ","$13,191 ","$13,149 ","$14,422 ","$16,179 ","$17,419 ","$17,714 ","$18,304 ","$19,132 ","$20,058 ","$20,928 ","$21,708 ","$21,660 ","$21,996 ","$22,747 ","$21,249 ","$21,601 ","$23,048 ","$22,973 ","$23,197 ","$23,777 ","$25,653 ","$27,324 ","$29,031 ","$30,694 ","$31,201 ","$30,424 ","$32,527 ","$34,088 ","$34,570 ","$35,470 ","$36,202 ","$36,117 "
Hungary,"$5,267 ","$5,496 ","$5,821 ","$6,159 ","$6,564 ","$6,921 ","$7,308 ","$7,530 ","$8,065 ","$8,392 ","$8,598 ","$8,605 ","$8,851 ","$9,108 ","$9,188 ","$9,451 ","$9,444 ","$9,605 ","$10,011 ","$10,168 ","$10,287 ","$9,952 ","$8,747 ","$8,491 ","$8,485 ","$8,764 ","$8,908 ","$8,929 ","$9,257 ","$9,674 ","$10,016 ","$10,466 ","$10,875 ","$11,383 ","$11,837 ","$12,428 ","$12,977 ","$13,506 ","$13,592 ","$13,730 ","$12,848 ","$12,968 ","$13,224 ","$13,052 ","$13,276 ","$13,787 ","$14,375 "
Iceland,"$14,433 ","$15,870 ","$17,769 ","$18,580 ","$19,556 ","$20,387 ","$20,264 ","$21,267 ","$22,967 ","$24,157 ","$25,088 ","$26,250 ","$27,056 ","$27,262 ","$26,333 ","$27,139 ","$27,811 ","$29,361 ","$31,652 ","$30,964 ","$30,693 ","$30,811 ","$30,490 ","$29,213 ","$29,341 ","$29,851 ","$29,723 ","$30,975 ","$32,234 ","$33,958 ","$34,953 ","$36,120 ","$36,984 ","$36,810 ","$37,538 ","$40,270 ","$42,022 ","$42,787 ","$45,777 ","$45,447 ","$42,960 ","$41,711 ","$42,588 ","$42,920 ","$44,007 ","$44,266 ","$45,411 "
India,$366 ,$376 ,$374 ,$364 ,$367 ,$363 ,$388 ,$387 ,$406 ,$421 ,$391 ,$409 ,$425 ,$431 ,$453 ,$460 ,$474 ,$487 ,$496 ,$534 ,$554 ,$574 ,$570 ,$589 ,$606 ,$634 ,$670 ,$707 ,$722 ,$753 ,$806 ,$823 ,$848 ,$866 ,$919 ,$976 ,"$1,050 ","$1,130 ","$1,223 ","$1,252 ","$1,339 ","$1,456 ","$1,532 ","$1,589 ","$1,676 ","$1,778 ","$1,806 "
Indonesia,$584 ,$620 ,$650 ,$688 ,$740 ,$785 ,$816 ,$847 ,$901 ,$963 ,"$1,009 ","$1,075 ","$1,139 ","$1,128 ","$1,199 ","$1,261 ","$1,280 ","$1,331 ","$1,377 ","$1,439 ","$1,542 ","$1,651 ","$1,768 ","$1,864 ","$1,966 ","$2,079 ","$2,216 ","$2,345 ","$2,416 ","$2,067 ","$2,051 ","$2,118 ","$2,164 ","$2,229 ","$2,304 ","$2,387 ","$2,492 ","$2,595 ","$2,726 ","$2,855 ","$2,953 ","$3,102 ","$3,258 ","$3,419 ","$3,573 ","$3,717 ","$3,834 "
Iran,"$3,395 ","$3,624 ","$3,980 ","$4,499 ","$4,615 ","$4,904 ","$5,036 ","$5,755 ","$5,504 ","$4,929 ","$4,416 ","$3,677 ","$3,339 ","$3,618 ","$3,914 ","$3,704 ","$3,638 ","$3,184 ","$3,026 ","$2,739 ","$2,818 ","$3,084 ","$3,334 ","$3,375 ","$3,280 ","$3,250 ","$3,297 ","$3,483 ","$3,550 ","$3,598 ","$3,621 ","$3,761 ","$3,849 ","$4,094 ","$4,353 ","$4,534 ","$4,688 ","$4,903 ","$5,151 ","$5,164 ","$5,217 ","$5,493 ","$5,639 ","$5,204 ","$5,041 ","$5,052 ",..
Iraq,"$1,527 ","$1,545 ","$1,574 ","$1,580 ","$1,595 ","$1,792 ","$1,950 ","$2,210 ","$2,178 ","$2,460 ","$2,868 ","$3,452 ","$3,310 ","$3,310 ","$2,783 ","$2,650 ","$2,597 ","$2,625 ","$2,818 ","$2,735 ","$2,570 ","$3,928 ","$1,465 ","$1,898 ","$2,398 ","$2,414 ","$2,388 ","$2,567 ","$3,014 ","$3,934 ","$4,477 ","$4,393 ","$4,347 ","$3,905 ","$2,519 ","$3,750 ","$3,783 ","$4,123 ","$4,203 ","$4,378 ","$4,450 ","$4,538 ","$4,825 ","$5,194 ","$5,370 ","$4,847 ","$4,963 "
Ireland,"$12,765 ","$12,894 ","$13,215 ","$13,858 ","$14,282 ","$14,647 ","$15,217 ","$15,188 ","$16,214 ","$17,158 ","$17,401 ","$17,764 ","$18,128 ","$18,347 ","$18,177 ","$18,834 ","$19,355 ","$19,269 ","$20,171 ","$21,286 ","$22,628 ","$24,579 ","$24,893 ","$25,531 ","$26,067 ","$27,436 ","$29,926 ","$32,445 ","$35,502 ","$38,053 ","$41,415 ","$44,796 ","$46,543 ","$48,504 ","$49,077 ","$50,207 ","$51,691 ","$53,129 ","$54,350 ","$51,787 ","$47,828 ","$47,253 ","$48,064 ","$47,395 ","$46,941 ","$48,613 ","$56,054 "
Israel,"$11,050 ","$11,506 ","$12,400 ","$13,646 ","$13,656 ","$14,200 ","$14,374 ","$14,270 ","$13,976 ","$14,349 ","$14,904 ","$15,572 ","$16,101 ","$16,152 ","$16,430 ","$16,285 ","$16,549 ","$17,042 ","$17,958 ","$18,013 ","$17,862 ","$18,558 ","$19,246 ","$19,596 ","$19,956 ","$20,606 ","$24,266 ","$24,916 ","$25,213 ","$25,629 ","$25,890 ","$27,485 ","$26,911 ","$26,394 ","$26,173 ","$26,972 ","$27,621 ","$28,686 ","$29,937 ","$30,433 ","$30,454 ","$31,611 ","$32,326 ","$32,682 ","$33,139 ","$33,480 ","$32,828 "
Italy,"$16,354 ","$17,714 ","$17,921 ","$18,459 ","$19,619 ","$20,537 ","$19,983 ","$21,305 ","$21,764 ","$22,397 ","$23,678 ","$24,454 ","$24,638 ","$24,727 ","$24,975 ","$25,752 ","$26,458 ","$27,215 ","$28,088 ","$29,265 ","$30,257 ","$30,857 ","$31,331 ","$31,484 ","$31,118 ","$31,726 ","$32,587 ","$32,942 ","$33,496 ","$33,994 ","$34,472 ","$35,671 ","$36,211 ","$36,211 ","$36,105 ","$36,439 ","$36,585 ","$37,171 ","$37,495 ","$36,815 ","$34,584 ","$35,009 ","$35,060 ","$33,952 ","$33,256 ","$33,008 ","$33,705 "
Jamaica,"$4,006 ","$4,434 ","$4,489 ","$5,216 ","$4,836 ","$4,554 ","$4,470 ","$4,115 ","$3,964 ","$3,921 ","$3,831 ","$3,577 ","$3,623 ","$3,634 ","$3,690 ","$3,623 ","$3,508 ","$3,568 ","$3,842 ","$3,989 ","$4,262 ","$4,421 ","$4,614 ","$4,664 ","$5,042 ","$5,050 ","$5,100 ","$5,029 ","$4,913 ","$4,743 ","$4,740 ","$4,733 ","$4,751 ","$4,923 ","$5,051 ","$5,106 ","$5,080 ","$5,057 ","$5,086 ","$5,010 ","$4,752 ","$4,647 ","$4,691 ","$4,691 ","$4,717 ","$4,709 ","$4,998 "
